Date,Open,High,Low,Close,Volume
2015-12-01,2082.93,2103.37,2082.93,2102.63,2062288889
2015-12-02,2101.71,2104.27,2077.11,2079.51,2194800000
2015-12-03,2080.71,2085,2042.35,2049.62,2392494444
2015-12-04,2051.24,2093.84,2051.24,2091.69,2341616667
2015-12-07,2090.42,2090.42,2066.78,2077.07,2246566667
2015-12-08,2073.39,2073.85,2052.32,2063.59,2318650000
2015-12-09,2061.17,2080.33,2036.53,2047.62,2436250000
2015-12-10,2047.93,2067.65,2045.67,2052.23,2063972222
2015-12-11,2047.27,2047.27,2008.8,2012.37,2389477778
2015-12-14,2013.37,2022.92,1993.26,2021.94,2562466667
2015-12-15,2025.55,2053.87,2025.55,2043.41,2418633333
2015-12-16,2046.5,2076.72,2042.43,2073.07,2575250000
2015-12-17,2073.76,2076.37,2041.66,2041.89,2404105556
2015-12-18,2040.81,2040.81,2005.33,2005.55,3712816667
2015-12-21,2010.27,2022.9,2005.93,2021.15,2089044444
2015-12-22,2023.15,2042.74,2020.49,2038.97,1956033333
2015-12-23,2042.2,2064.73,2042.2,2064.29,1935605556
2015-12-24,2063.52,2067.36,2058.73,2060.99,784366667
2015-12-28,2057.77,2057.77,2044.2,2056.5,1384727778
2015-12-29,2060.54,2081.56,2060.54,2078.36,1412222222
2015-12-30,2077.34,2077.34,2061.97,2063.36,1315238889
2015-12-31,2060.59,2062.54,2043.62,2043.94,1475183333
2016-01-04,2038.2,2038.2,1989.68,2012.66,2391600000
2016-01-05,2013.78,2021.94,2004.17,2016.71,2059233333
2016-01-06,2011.71,2011.71,1979.05,1990.26,2409255556
2016-01-07,1985.32,1985.32,1938.83,1943.09,2820327778
2016-01-08,1945.97,1960.4,1918.46,1922.03,2591633333
